City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lucera,41.5082,15.3351,73.49,53,0,16.11,IT,1687761834
1,tsiombe,-25.3,45.4833,67.75,55,0,1.74,MG,1687761835
2,lata,40.1629,-8.3327,63.07,70,7,3.2,PT,1687761835
3,kodiak,57.79,-152.4072,47.71,93,100,10.36,US,1687761835
4,tiksi,71.6872,128.8694,48.07,57,51,5.1,RU,1687761836
5,yellowknife,62.456,-114.3525,59.56,55,75,9.22,CA,1687761836
6,mar del plata,-38.0023,-57.5575,52.09,93,100,20.71,AR,1687761837
7,qaqortoq,60.7167,-46.0333,36.34,88,19,3.58,GL,1687761837
8,albany,42.6001,-73.9662,68.59,92,18,3.24,US,1687761837
9,alice springs,-23.7,133.8833,65.75,30,75,12.66,AU,1687761838
10,edinburgh of the seven seas,-37.0676,-12.3116,59.95,88,100,32.77,SH,1687761838
11,palmer,42.1584,-72.3287,70.41,85,20,5.75,US,1687761839
12,annau,37.8876,58.516,87.3,25,0,9.22,TM,1687761839
13,ilulissat,69.2167,-51.1,37.42,87,47,0.0,GL,1687761840
14,puerto natales,-51.7236,-72.4875,33.24,95,100,4.79,CL,1687761840
15,kharp,66.8014,65.8081,61.38,58,100,5.35,RU,1687761841
16,sandnessjoen,66.0217,12.6316,73.51,43,0,5.75,NO,1687761841
17,nar'yan-mar,67.6713,53.087,51.89,54,100,13.85,RU,1687761842
18,aasiaat,68.7098,-52.8699,34.59,90,98,5.26,GL,1687761842
19,ad dabbah,18.05,30.95,99.72,10,4,13.24,SD,1687761843
20,fada,9.5667,8.3,71.37,86,90,1.97,NG,1687761843
21,freetown,8.484,-13.2299,77.32,86,98,3.02,SL,1687761844
22,mugia,43.1041,-9.2179,65.91,87,81,18.23,ES,1687761844
23,college,64.8569,-147.8028,70.12,35,75,16.11,US,1687761845
24,tolanaro,-25.0319,46.9987,64.47,77,20,4.61,MG,1687761845
25,badger,64.8,-147.5333,70.05,40,0,16.11,US,1687761846
26,port-aux-francais,-49.35,70.2167,37.53,98,100,25.77,TF,1687761846
27,grytviken,-54.2811,-36.5092,30.36,87,89,22.5,GS,1687761846
28,georgetown,5.4112,100.3354,88.02,76,20,3.44,MY,1687761600
29,rongelap,11.1635,166.8941,82.65,84,29,19.24,MH,1687761847
30,constantia,44.1833,28.65,72.28,83,97,14.5,RO,1687761691
31,darnah,32.767,22.6367,77.88,67,0,12.8,LY,1687761848
32,olonkinbyen,70.9221,-8.7187,40.77,100,100,12.82,SJ,1687761848
33,isafjordur,66.0755,-23.124,48.79,79,38,6.78,IS,1687761849
34,chonchi,-42.6128,-73.8092,45.61,87,99,5.86,CL,1687761849
35,salalah,17.0151,54.0924,89.69,74,75,12.66,OM,1687761850
36,ar rutbah,33.0381,40.2848,89.02,15,0,11.68,IQ,1687761851
37,wailua homesteads,22.0669,-159.378,77.79,87,100,16.11,US,1687761851
38,laguna,38.421,-121.4238,62.55,82,0,8.05,US,1687761852
39,lompoc,34.6391,-120.4579,59.02,89,100,13.8,US,1687761852
40,raja,8.4596,25.678,77.81,76,67,4.61,SS,1687761852
41,hermanus,-34.4187,19.2345,56.19,88,81,17.94,ZA,1687761853
42,veracruz,19.3333,-96.6667,69.33,94,100,6.71,MX,1687761571
43,coxim,-18.5067,-54.76,63.39,65,0,4.92,BR,1687761726
44,kirakira,-10.4544,161.9205,77.14,71,37,9.35,SB,1687761854
45,karratha,-20.7377,116.8463,75.31,29,0,3.4,AU,1687761854
46,isangel,-19.55,169.2667,69.62,66,53,10.76,VU,1687761855
47,isfana,39.8386,69.5306,73.96,37,1,8.93,KG,1687761855
48,katoomba,-33.7198,150.3074,51.31,61,4,1.99,AU,1687761856
49,revelstoke,50.9832,-118.2023,68.02,60,0,12.66,CA,1687761856
50,carnarvon,-24.8667,113.6333,63.99,59,27,18.84,AU,1687761857
51,papatowai,-46.5619,169.4708,48.92,91,100,1.99,NZ,1687761857
52,petropavlovsk-kamchatsky,53.0452,158.6483,68.59,64,0,13.42,RU,1687761857
53,punta arenas,-53.15,-70.9167,33.91,86,100,18.41,CL,1687761641
54,capinota,-17.7167,-66.2333,54.27,38,0,0.69,BO,1687761858
55,ostersund,63.1792,14.6357,70.61,31,0,11.5,SE,1687761801
56,viedma,-40.8135,-62.9967,52.11,42,0,23.04,AR,1687761673
57,kudat,6.8837,116.8477,89.53,66,20,10.36,MY,1687761859
58,adamstown,-25.066,-130.1015,73.13,82,26,13.02,PN,1687761860
59,wang saphung,17.301,101.7685,77.02,94,100,6.91,TH,1687761860
60,ushuaia,-54.8,-68.3,33.46,86,75,3.44,AR,1687761861
61,dryden,49.7833,-92.7503,55.69,88,0,2.3,CA,1687761861
62,invercargill,-46.4,168.35,49.82,93,100,1.59,NZ,1687761862
63,bissora,12.2231,-15.4475,75.27,92,100,3.89,GW,1687761862
64,bull savanna,17.8868,-77.5902,75.83,83,100,9.17,JM,1687761862
65,tabuk,17.4189,121.4443,87.96,64,80,3.71,PH,1687761863
66,vadso,70.0744,29.7487,50.88,100,100,3.44,NO,1687761863
67,blackmans bay,-43.0167,147.3167,50.52,76,55,11.65,AU,1687761864
68,thompson,55.7435,-97.8558,42.96,87,40,0.0,CA,1687761839
69,mangai,-4.05,19.5333,78.03,69,20,3.8,CD,1687761865
70,port mathurin,-19.6833,63.4167,72.91,73,34,15.3,MU,1687761865
71,kirishi,59.4471,32.0205,70.79,56,97,7.76,RU,1687761866
72,northam,51.0333,-4.2167,61.39,82,18,10.89,GB,1687761867
73,ancud,-41.8697,-73.8203,48.42,85,100,13.67,CL,1687761867
74,dongcun,36.7767,121.1597,71.38,81,99,10.85,CN,1687761867
75,orchard homes,46.8633,-114.0484,59.14,77,0,3.44,US,1687761868
76,panama city beach,30.1766,-85.8055,82.09,85,40,5.99,US,1687761849
77,saldanha,-33.0117,17.9442,51.85,81,0,12.73,ZA,1687761869
78,bethel,41.3712,-73.414,70.16,88,100,5.75,US,1687761869
79,happy valley-goose bay,53.3168,-60.3315,43.11,93,20,5.75,CA,1687761869
80,puerto ayora,-0.7393,-90.3518,76.55,91,88,5.01,EC,1687761870
81,codrington,-38.2667,141.9667,53.28,74,98,9.57,AU,1687761870
82,hawaiian paradise park,19.5933,-154.9731,73.04,95,100,6.91,US,1687761871
83,namibe,-15.1961,12.1522,60.94,82,14,7.63,AO,1687761871
84,petukhovo,55.0692,67.9019,59.2,77,100,7.02,RU,1687761872
85,pallasovka,50.05,46.8833,74.32,36,13,6.55,RU,1687761872
86,mashhad,36.297,59.6062,84.34,37,0,9.22,IR,1687761873
87,manaure,11.7751,-72.4445,78.44,87,100,5.59,CO,1687761874
88,waitangi,-43.9535,-176.5597,53.82,80,100,13.0,NZ,1687761874
89,yuzhno-kurilsk,44.0306,145.8556,59.04,89,100,9.66,RU,1687761875
90,talnakh,69.4865,88.3972,58.21,69,100,3.58,RU,1687761876
91,malanje,-9.5402,16.341,63.3,40,27,4.07,AO,1687761876
92,margate,51.3813,1.3862,64.69,70,29,5.99,GB,1687761877
93,tadine,-21.55,167.8833,67.5,63,17,9.57,NC,1687761877
94,chibougamau,49.9168,-74.3659,53.22,87,100,4.61,CA,1687761878
95,anadyr,64.75,177.4833,61.3,55,0,13.42,RU,1687761878
96,dabola,10.75,-11.1167,71.94,93,100,3.13,GN,1687761879
97,howard springs,-12.497,131.047,89.51,44,60,12.19,AU,1687761879
98,kununurra,-15.7667,128.7333,91.38,43,100,6.91,AU,1687761879
99,salgueiro,-8.0742,-39.1192,66.78,86,84,7.4,BR,1687761880
100,najran,17.4924,44.1277,95.65,15,99,3.98,SA,1687761880
101,kupang,-10.1667,123.5833,88.38,66,20,11.5,ID,1687761881
102,garachico,28.7781,-17.7646,68.11,73,20,6.91,ES,1687761881
103,hasaki,35.7333,140.8333,82.8,83,100,9.53,JP,1687761882
104,minas de marcona,-15.2119,-75.1103,54.73,83,5,7.09,PE,1687761882
105,malango,-2.9627,119.9001,78.84,77,81,3.27,ID,1687761882
106,iqaluit,63.7506,-68.5145,44.33,65,40,3.44,CA,1687761883
107,cremona,45.2333,9.9333,81.18,65,0,1.68,IT,1687761883
108,saint-denis,48.9167,2.3333,65.84,77,20,11.5,FR,1687761884
109,sweetwater,25.7634,-80.3731,78.01,96,20,0.0,US,1687761661
110,hakui,36.8833,136.7833,86.14,71,100,6.67,JP,1687761885
111,utrik,11.2278,169.8474,82.44,82,52,21.18,MH,1687761885
112,brady,31.1352,-99.3351,87.53,51,0,8.05,US,1687761886
113,bilibino,68.0546,166.4372,67.28,50,100,4.12,RU,1687761886
114,kapa'a,22.0752,-159.319,79.12,86,100,16.11,US,1687761886
115,kirensk,57.7853,108.1119,59.92,87,100,0.94,RU,1687761887
